,name,avg_viewers,time_streamed,all_time_peak_viewers,hours_watched,rank,follower_gained,total_followers,total_views
1624,ELIASCREATESLIVE,63,80.2,1612,5100.0,31399,113.0,788,--
1625,SEUTAXXHOPE,61,85.9,717,5300.0,31412,607.0,6600.0,--
1626,PAK_OW,78,48.0,1087,3700.0,31439,66.0,9200.0,--
1627,NEMARI,61,86.2,285,5200.0,31458,93.0,27400.0,1180000.0
1628,CHIIEUSE76,50,123.5,2500,6200.0,31478,370.0,6900.0,--
1629,FASTCLOSECOMBATTV,90,28.3,33358,2600.0,31489,931.0,171000,2620000.0
1630,LOLAORAZIO,66,72.7,564,4800.0,31493,67.0,11600.0,377000
1631,CHECKSA,66,72.7,1779,4800.0,31550,33.0,5000.0,--
1632,ZEPROTAGONISTE,85,34.9,3984,3000.0,31572,327.0,33700.0,--
1633,CINDERYS,104,11.7,2083,1200.0,31584,54.0,15400.0,420000
1634,YORZIAN,102,13.9,1261,1400.0,31595,19.0,5400.0,--
1635,MIZU,100,16.3,8458,1600.0,31668,75.0,51400.0,2230000.0
1636,RAYZORNTV,90,28.3,268,2500.0,31674,90.0,2300.0,--
1637,RIKBOR_LE_BARBU,59,90.4,180,5300.0,31680,129.0,1600.0,--
1638,TOUR0_,95,21.3,231,2000.0,31759,122.0,276,--
1639,POKERSTARSFRANCE,101,14.7,6422,1500.0,31768,2.0,54100.0,4970000.0
1640,JUNTSUN,53,108.8,584,5800.0,31774,44.0,5500.0,--
1641,MIELCRAPOUILLE,63,77.8,144,4900.0,31814,179.0,5500.0,--
1642,FUDROTV,88,30.2,599,2700.0,31852,194.0,3100.0,--
1643,ZETETONE,78,44.6,1998,3500.0,31897,38.0,25900.0,1250000.0
1644,CASSOU,105,9.8,416,1000.0,31900,158.0,43300.0,357000
1645,GEA_DESS,107,7.8,989,832.0,31908,23.0,6500.0,--
1646,EMESS__,54,105.7,654,5700.0,31928,403.0,7100.0,--
1647,FLORIEMARIE,95,20.3,1078,1900.0,31930,198.0,2700.0,--
1648,ELIT0_,94,21.8,327,2000.0,31932,55.0,5300.0,--
1649,KPTAINPE,52,113.0,952,5900.0,32021,45.0,19900.0,--
1650,ALTAZ69,97,17.9,390,1700.0,32023,67.0,4600.0,--
1651,WILLDT11,45,143.5,77,6400.0,32039,195.0,3600.0,--
1652,FRITAS,64,74.0,248,4700.0,32107,55.0,9400.0,--
1653,LAWISSE_,55,101.3,899,5500.0,32151,225.0,4800.0,--
1654,TOONZ_BOONORTER,55,100.7,1970,5500.0,32162,45.0,7700.0,--
1655,ULTRAMAN_CCG,43,154.7,1045,6600.0,32170,32.0,9900.0,624000
1656,BLOOPGREG,73,52.5,1192,3900.0,32186,23.0,12800.0,371000
1657,KELYANLIVE,95,19.0,369,1800.0,32254,870.0,25300.0,--
1658,MRGANG_TV,77,45.3,539,3500.0,32260,170.0,23300.0,--
1659,NICOMATHIEUX,82,36.4,1385,3000.0,32279,632.0,10800.0,--
1660,AKSIANKA,63,74.4,2116,4700.0,32280,726.0,101000,474000
1661,NIS_H_A,68,63.6,302,4300.0,32298,1300.0,10300.0,--
1662,AETIENNE,62,78.2,446,4800.0,32331,89.0,3400.0,--
1663,ONESHOOTER,54,102.4,2825,5500.0,32372,78.0,51900.0,620000
1664,MARVERIKG,100,13.2,1974,1300.0,32373,3.0,11000.0,1090000.0
1665,OSMOSISCOOP,108,5.1,2656,555.0,32386,62.0,3600.0,--
1666,EKAZZ,89,26.2,2385,2300.0,32416,29.0,1600.0,--
1667,ESMARILDAN,46,136.1,359,6200.0,32417,36.0,2400.0,--
1668,GREYS_BAT,39,175.3,127,6900.0,32447,117.0,1900.0,--
1669,JAYZZ_,57,91.5,1186,5200.0,32466,966.0,33200.0,--
1670,SIMBAA_Z,107,6.1,203,651.0,32506,33.0,106,--
1671,ICYNAKE,78,41.8,722,3300.0,32547,432.0,467,--
1672,TICTOO,52,106.5,1010,5600.0,32581,19.0,4300.0,--
1673,SPUFFI,55,96.6,3503,5300.0,32583,30.0,20300.0,--
1674,MERCI_RAPH,48,124.9,972,6000.0,32597,312.0,2500.0,--
1675,SUPRALE34,30,256.9,599,7600.0,32603,681.0,18000.0,--
1676,SEAOFTHIEVES_FRANCE,97,15.2,807,1500.0,32703,208.0,8800.0,--
